bonus_value_id	effect	unit_set
#effect_bonus_value_ids_unit_sets_tables;0;db/effect_bonus_value_ids_unit_sets_tables/idrinth		
ammo_mod	idrinth_effect_character_stat_ammunition	idrinth_hev_high_elf_vampires_idrinth
melee_damage_ap_mod_add	idrinth_effect_character_stat_ap_damage	idrinth_hev_high_elf_vampires_idrinth
melee_defence_mod	idrinth_effect_character_stat_ward_save	idrinth_hev_high_elf_vampires_idrinth
upkeep_mod	idrinth_effect_upkeep_idrinth	idrinth_hev_high_elf_vampires_idrinth
melee_defence_mod	idrinth_initiative_asuryan	idrinth_hev_high_elf_vampires_idrinth
melee_attack_mod	idrinth_initiative_khaine	idrinth_hev_high_elf_vampires_idrinth
movement_mod	idrinth_initiative_asuryan	idrinth_hev_high_elf_vampires_idrinth
battle_barrier_health	idrinth_chapel_asuryan_ward_save	idrinth_hev_high_elf_vampires_all_elves
charge_bonus	idrinth_chapel_khaine_charge	idrinth_hev_high_elf_vampires_all_elves
range_mod	idrinth_chapel_kurnous_range	idrinth_hev_high_elf_vampires_all_elves
battle_barrier_health	idrinth_chapel_asuryan_ward_save	idrinth_hev_high_elf_vampires_all_beasts
charge_bonus	idrinth_chapel_khaine_charge	idrinth_hev_high_elf_vampires_all_beasts
movement_mod	idrinth_chapel_kurnous_range	idrinth_hev_high_elf_vampires_all_beasts
battle_barrier_health	idrinth_chapel_asuryan_ward_save	idrinth_hev_high_elf_vampires_all_animated
charge_bonus	idrinth_chapel_khaine_charge	idrinth_hev_high_elf_vampires_all_animated
movement_mod	idrinth_chapel_kurnous_range	idrinth_hev_high_elf_vampires_all_animated
melee_damage_mod_mult	idrinth_priests_wh_main_effect_force_stat_weapon_strength	idrinth_hev_high_elf_vampires_priests
unit_fatigue_resistance_mod	idrinth_priests_wh_main_effect_force_stat_vigour_loss_reduction	idrinth_hev_high_elf_vampires_priests
movement_mod	idrinth_priests_wh_main_effect_force_stat_speed	idrinth_hev_high_elf_vampires_priests
range_mod	idrinth_priests_wh_main_effect_force_stat_range	idrinth_hev_high_elf_vampires_priests
melee_attack_mod	idrinth_priests_wh_main_effect_force_stat_melee_defence	idrinth_hev_high_elf_vampires_priests
melee_attack_mod	idrinth_priests_wh_main_effect_force_stat_melee_attack_pct	idrinth_hev_high_elf_vampires_priests
unit_damage_resistance_flame_mod	idrinth_priests_wh_main_effect_force_stat_fire_resistance	idrinth_hev_high_elf_vampires_priests
charge_bonus	idrinth_priests_wh_main_effect_force_stat_charge_bonus_pct	idrinth_hev_high_elf_vampires_priests
replenishment_percentage_bonus	idrinth_priests_wh_main_effect_force_all_campaign_replenishment_rate	idrinth_hev_high_elf_vampires_priests
unit_damage_resistance_physical_mod	idrinth_priests_wh_main_effect_character_stat_physical_resistance	idrinth_hev_high_elf_vampires_priests
unit_damage_resistance_missile_mod	idrinth_priests_wh_main_effect_character_stat_missile_resistance	idrinth_hev_high_elf_vampires_priests
missile_damage_mod_mult	idrinth_priests_wh_main_effect_character_stat_missile_damage	idrinth_hev_high_elf_vampires_priests
