bonus_value_id	effect	name_record
#effect_bonus_value_name_record_junctions_tables;1;db/effect_bonus_value_name_record_junctions_tables/idrinth		
active	idrinth_enable_thalui_name	99990999999991
priority	idrinth_enable_thalui_name	99990999999991
active	idrinth_enable_thalui_name_actual	99990999999991
priority	idrinth_enable_thalui_name_actual	99990999999991
active	idrinth_enable_knight_scholar_name	99990999999992
priority	idrinth_enable_knight_scholar_name	99990999999992
active	idrinth_enable_knight_scholar_name_actual	99990999999992
priority	idrinth_enable_knight_scholar_name_actual	99990999999992
active	idrinth_enable_thalui_name	99990999999994
priority	idrinth_enable_thalui_name	99990999999994
active	idrinth_enable_thalui_name_actual	99990999999994
priority	idrinth_enable_thalui_name_actual	99990999999994
active	idrinth_enable_knight_scholar_name	99990999999995
priority	idrinth_enable_knight_scholar_name	99990999999995
active	idrinth_enable_knight_scholar_name_actual	99990999999995
priority	idrinth_enable_knight_scholar_name_actual	99990999999995
active	idrinth_enable_thalui_name	99990999999997
priority	idrinth_enable_thalui_name	99990999999997
active	idrinth_enable_thalui_name_actual	99990999999997
priority	idrinth_enable_thalui_name_actual	99990999999997
active	idrinth_enable_knight_scholar_name	99990999999998
priority	idrinth_enable_knight_scholar_name	99990999999998
active	idrinth_enable_knight_scholar_name_actual	99990999999998
priority	idrinth_enable_knight_scholar_name_actual	99990999999998
active	idrinth_enable_thalui_name	99991000000000
priority	idrinth_enable_thalui_name	99991000000000
active	idrinth_enable_thalui_name_actual	99991000000000
priority	idrinth_enable_thalui_name_actual	99991000000000
active	idrinth_enable_knight_scholar_name	99991000000001
priority	idrinth_enable_knight_scholar_name	99991000000001
active	idrinth_enable_knight_scholar_name_actual	99991000000001
priority	idrinth_enable_knight_scholar_name_actual	99991000000001
active	idrinth_enable_thalui_name	99991000000003
priority	idrinth_enable_thalui_name	99991000000003
active	idrinth_enable_thalui_name_actual	99991000000003
priority	idrinth_enable_thalui_name_actual	99991000000003
active	idrinth_enable_knight_scholar_name	99991000000004
priority	idrinth_enable_knight_scholar_name	99991000000004
active	idrinth_enable_knight_scholar_name_actual	99991000000004
priority	idrinth_enable_knight_scholar_name_actual	99991000000004
active	idrinth_enable_thalui_name	99991000000006
priority	idrinth_enable_thalui_name	99991000000006
active	idrinth_enable_thalui_name_actual	99991000000006
priority	idrinth_enable_thalui_name_actual	99991000000006
active	idrinth_enable_knight_scholar_name	99991000000007
priority	idrinth_enable_knight_scholar_name	99991000000007
active	idrinth_enable_knight_scholar_name_actual	99991000000007
priority	idrinth_enable_knight_scholar_name_actual	99991000000007
active	idrinth_enable_thalui_name	99991000000009
priority	idrinth_enable_thalui_name	99991000000009
active	idrinth_enable_thalui_name_actual	99991000000009
priority	idrinth_enable_thalui_name_actual	99991000000009
active	idrinth_enable_knight_scholar_name	99991000000010
priority	idrinth_enable_knight_scholar_name	99991000000010
active	idrinth_enable_knight_scholar_name_actual	99991000000010
priority	idrinth_enable_knight_scholar_name_actual	99991000000010
active	idrinth_enable_thalui_name	99991000000012
priority	idrinth_enable_thalui_name	99991000000012
active	idrinth_enable_thalui_name_actual	99991000000012
priority	idrinth_enable_thalui_name_actual	99991000000012
active	idrinth_enable_knight_scholar_name	99991000000013
priority	idrinth_enable_knight_scholar_name	99991000000013
active	idrinth_enable_knight_scholar_name_actual	99991000000013
priority	idrinth_enable_knight_scholar_name_actual	99991000000013
active	idrinth_enable_thalui_name	99991000000015
priority	idrinth_enable_thalui_name	99991000000015
active	idrinth_enable_thalui_name_actual	99991000000015
priority	idrinth_enable_thalui_name_actual	99991000000015
active	idrinth_enable_knight_scholar_name	99991000000016
priority	idrinth_enable_knight_scholar_name	99991000000016
active	idrinth_enable_knight_scholar_name_actual	99991000000016
priority	idrinth_enable_knight_scholar_name_actual	99991000000016
active	idrinth_enable_thalui_name	99991000000018
priority	idrinth_enable_thalui_name	99991000000018
active	idrinth_enable_thalui_name_actual	99991000000018
priority	idrinth_enable_thalui_name_actual	99991000000018
active	idrinth_enable_knight_scholar_name	99991000000019
priority	idrinth_enable_knight_scholar_name	99991000000019
active	idrinth_enable_knight_scholar_name_actual	99991000000019
priority	idrinth_enable_knight_scholar_name_actual	99991000000019
