key	text	tooltip
#Loc;1;text/db/idrinth__pl.loc	
dilemmas_localised_description_idrinth_unlock_choice	Pewnej nocy pojawia się nieznajomy w płaszczu, oferując swoją pomoc za niewielką opłatą. Czy przyjmujesz pomoc?	false
dilemmas_localised_title_idrinth_unlock_choice	Nieznajomy	false
dilemmas_localised_description_idrinth_dilemma_high_elves	Przybywa elficki posłaniec, szukający Idrinth. Idrinth, którego znasz, unikał go dotąd, może mógłbyś pomóc?	false
dilemmas_localised_description_idrinth_dilemma_wood_elves	Do twojego obozu przybywa leśny elf-strażnik. Oświadcza, że potrzebuje swojego zakrwawionego kuzyna. Idrinth szybko potwierdza, że to o niego chodziło, ale odmawia spotkania.	false
dilemmas_localised_description_idrinth_dilemma_empire	Stary uczony zbliża się do twojego obozu. Niosąc księgi przeszłości, twierdzi, że znalazł cenną wiedzę dla ciebie.	false
dilemmas_localised_description_idrinth_dilemma_kislev	W nocy, gdy lodowaty wiatr dręczy twoich strażników, łapią Kislevitę próbującego zakraść się do obozu. Jest młody i pozornie nieszkodliwy, ale co z nim zrobisz?	false
dilemmas_localised_description_idrinth_dilemma_vampire_counts	Pewnej nocy znajdujesz jednego ze swoich sług odsączonych z krwi tuż przed namiotem Idrinth. Wpadając do środka, zastaj go czytającego stary zwój przy stole.	false
dilemmas_localised_title_idrinth_dilemma_high_elves	Posłaniec	false
dilemmas_localised_title_idrinth_dilemma_wood_elves	Krwawi Kuzyni	false
dilemmas_localised_title_idrinth_dilemma_kislev	Intruz!	false
dilemmas_localised_title_idrinth_dilemma_empire	Uczony	false
dilemmas_localised_title_idrinth_dilemma_vampire_counts	Koniec Sługi	false
dilemmas_localised_description_idrinth_dilemma_dwarves	W pobliżu dostrzeżono grupę krasnoludów. Twoi zwiadowcy podsłuchali ich opowieści o wojnach wampirów. Jeden wspomniany elf brzmi podejrzanie jak Idrinth.	false
dilemmas_localised_title_idrinth_dilemma_dwarves	Stara Waśń	false
dilemmas_localised_description_idrinth_dilemma_weapon	Po ostatnim polowaniu Idrinth zbliża się do ciebie z czymś, co wygląda na starożytną elficką broń. Prosi cię o radę, komu ją poświęcić.	false
dilemmas_localised_title_idrinth_dilemma_weapon	Błogosławiona Broń	false
dilemmas_localised_description_idrinth_dilemma_armour	Po ostatniej bitwie Idrinth zbliża się do ciebie z czymś, co wygląda na starożytną elficką zbroje. Prosi cię o radę, komu ją poświęcić.	false
dilemmas_localised_title_idrinth_dilemma_armour	Błogosławiona Zbroja	false
dilemmas_localised_description_idrinth_dilemma_talisman	Po zakończeniu podróży na ten dzień Idrinth zbliża się do ciebie z czymś, co wygląda na starożytny elficki talizman. Prosi cię o radę, komu go poświęcić.	false
dilemmas_localised_title_idrinth_dilemma_talisman	Błogosławiony Talizman	false
dilemmas_localised_description_idrinth_mode_choice	Aktywuj bardziej restrykcyjną zgodność z osadzeniem, aby ograniczyć kultury rekrutujące Rycerza-Uczonego Idrinth Thalui do Wysokich Elfów, Leśnych Elfów, Kislevu, Imperium i Hrabiów Wampirów. Wybierz luźniejszy tryb, aby dodać również Wybrzeże Wampirów, Legiony Nagasha, Mroczne Elfy, Cathay i Bretonię.	false
dilemmas_localised_title_idrinth_mode_choice	Tryb: Bardziej lub Mniej Restrykcyjna Zgodność z Osadzeniem	false
