key	text	tooltip
#Loc;1;text/db/idrinth__.loc		
agent_culture_details_description_text_99999990	被轉化為吸血鬼的高等精靈。	false
agent_culture_details_onscreen_name_99999990	伊德林斯·塔路易	false
agent_culture_details_description_text_99999991	被轉化為吸血鬼的高等精靈。	false
agent_culture_details_onscreen_name_99999991	伊德林斯·塔路易	false
agent_subtypes_description_text_override_idrinth_hev_high_elf_vampires_idrinthchampion	伊德林斯·塔路易被違背其意願地轉化，現在用他新獲得的力量獵殺混沌的僕從。	false
agent_subtypes_description_text_override_idrinth_hev_high_elf_vampires_idrinthgeneral	伊德林斯·塔路易被違背其意願地轉化，現在用他新獲得的力量獵殺混沌的僕從。	false
ancillaries_colour_text_idrinth_anc_talisman_stone_of_dried_blood	一件受凱恩——血手神祝福的護符。很少有人獲得足夠的眷顧以他的名義揮舞這樣的工具。乾涸的血液散發著古老的力量，向佩戴者低語暴力的承諾。	false
ancillaries_explanation_text_idrinth_anc_talisman_stone_of_dried_blood	證明了戰鬥經驗。	false
ancillaries_onscreen_name_idrinth_anc_talisman_stone_of_dried_blood	乾血護符	false
ancillaries_colour_text_idrinth_anc_talisman_talisman_of_souls	一件受阿蘇瑞安祝福的護符，用以保存前代的知識。當安靜時，你可以聽到古代精靈賢者從帷幕之外提供智慧的低語。	false
ancillaries_explanation_text_idrinth_anc_talisman_talisman_of_souls	證明了戰鬥經驗。	false
ancillaries_onscreen_name_idrinth_anc_talisman_talisman_of_souls	靈魂護符	false
ancillaries_colour_text_idrinth_anc_talisman_forest_berry_wine	一種受庫爾諾斯祝福的護符，為持有者提供世界上最好的漿果酒之一。一口就能讓飲用者與荒野連結，增強感官並加快反應，彷彿森林本身在引導每一個動作。	false
ancillaries_explanation_text_idrinth_anc_talisman_forest_berry_wine	證明了戰鬥經驗。	false
ancillaries_onscreen_name_idrinth_anc_talisman_forest_berry_wine	森林漿果酒	false
ancillaries_colour_text_idrinth_anc_weapon_kurnous_blessed_hunting_bow	一件受庫爾諾斯祝福的武器，使其持有者成為世界上最傑出的獵人之一。被其箭矢標記的人會感到原始的恐懼，彷彿被自然本身而非僅僅一名弓箭手所追獵。	false
ancillaries_explanation_text_idrinth_anc_weapon_kurnous_blessed_hunting_bow	證明了戰鬥經驗。	false
ancillaries_onscreen_name_idrinth_anc_weapon_kurnous_blessed_hunting_bow	受祝福的狩獵弓	false
ancillaries_colour_text_idrinth_anc_armour_khaines_visage	這頂頭盔展現一個面具，混合了恐怖、嗜血和純粹的暴力慾望。這面容會轉化佩戴者，喚醒敵人從遠處就能感知的原始憤怒。	false
ancillaries_explanation_text_idrinth_anc_armour_khaines_visage	證明了戰鬥經驗。	false
ancillaries_onscreen_name_idrinth_anc_armour_khaines_visage	凱恩的面容	false
ancillaries_colour_text_idrinth_anc_weapon_khaines_thirsting_sword	一把與主人一樣渴望鮮血的劍。每一次揮擊，它都渴望更多，隨著每一條生命的奪取而變得更強。當被新鮮血液浸濕時，劍刃永不變鈍。	false
ancillaries_explanation_text_idrinth_anc_weapon_khaines_thirsting_sword	證明了戰鬥經驗。	false
ancillaries_onscreen_name_idrinth_anc_weapon_khaines_thirsting_sword	凱恩的渴血劍	false
ancillaries_colour_text_idrinth_anc_weapon_asuryans_perfection_sword	一把如同其持有者所追求的那樣完美的劍。在阿蘇瑞安本人的永恆之火中鍛造，這把高等精靈風格的劍為戰鬥帶來和諧，使其主人能夠以無與倫比的精準和耐力戰鬥。	false
ancillaries_explanation_text_idrinth_anc_weapon_asuryans_perfection_sword	證明了戰鬥經驗。	false
ancillaries_onscreen_name_idrinth_anc_weapon_asuryans_perfection_sword	阿蘇瑞安的完美之劍	false
ancillaries_colour_text_idrinth_anc_armour_kurnous_forest_cloak	一件由庫爾諾斯設計的盔甲，輕盈且幾乎不引人注目。這件深綠色的斗篷承載著深林的精髓，能將佩戴者隱藏在敵人眼中，同時增強對周圍環境的感知。	false
ancillaries_explanation_text_idrinth_anc_armour_kurnous_forest_cloak	證明了戰鬥經驗。	false
ancillaries_onscreen_name_idrinth_anc_armour_kurnous_forest_cloak	庫爾諾斯的森林斗篷	false
ancillaries_colour_text_idrinth_anc_armour_asuryans_destiny	這套盔甲在佩戴者為精靈族服務時保護他們，將壽命延長到超出任何預期的水平。編織在每塊甲板中的附魔排斥亡靈的腐化，讓佩戴者能夠行走於兩個世界之間。	false
ancillaries_explanation_text_idrinth_anc_armour_asuryans_destiny	證明了戰鬥經驗。	false
ancillaries_onscreen_name_idrinth_anc_armour_asuryans_destiny	阿蘇瑞安的命運之甲	false
ancillary_sets_name_anc_set_exclusive_idrinth_khaine	凱恩的祝福	false
ancillary_sets_name_anc_set_exclusive_idrinth_kurnous	庫爾諾斯的祝福	false
ancillary_sets_name_anc_set_exclusive_idrinth_asuryan	阿蘇瑞安的祝福	false
ancillary_sets_description_anc_set_exclusive_idrinth_khaine	凱恩祝福的物品將你鍛造成死亡與毀滅的活泉源。	false
ancillary_sets_description_anc_set_exclusive_idrinth_kurnous	庫爾諾斯祝福的物品使你成為世上最危險的獵人之一。	false
ancillary_sets_description_anc_set_exclusive_idrinth_asuryan	阿蘇瑞安祝福的物品定義了無助者的守護者。	false
building_chains_chain_tooltip_idrinth_hev_high_elf_vampires_chapel	精靈社區教堂	false
building_chains_encyclopedia_description_idrinth_hev_high_elf_vampires_chapel	一座為精靈流亡者、冒險家和流浪者的小社區而建的教堂。	false
building_chains_encyclopedia_name_idrinth_hev_high_elf_vampires_chapel	精靈社區教堂	false
building_chains_encyclopedia_name_idrinth_hev_high_elf_vampires_beasts	精靈獸醫所	false
building_chains_encyclopedia_name_idrinth_hev_high_elf_vampires_diplomacy	精靈外交站	false
building_chains_encyclopedia_name_idrinth_hev_high_elf_vampires_altar	精靈工匠坊	false
building_chains_encyclopedia_name_idrinth_hev_high_elf_vampires_horde	精靈營地	false
building_chains_encyclopedia_name_idrinth_hev_high_elf_vampires_horde_healer_wagon	精靈治療師	false
building_chains_encyclopedia_name_idrinth_hev_high_elf_vampires_horde_quartermaster	精靈軍需官	false
building_chains_encyclopedia_name_idrinth_hev_high_elf_vampires_horde_trader	精靈商人	false
building_culture_variants_name_idrinth_hev_high_elf_vampires_artisan_quarters	工匠區	false
building_culture_variants_name_idrinth_hev_high_elf_vampires_tavern	精靈酒館	false
building_culture_variants_name_idrinth_hev_high_elf_vampires_library	精靈圖書館	false
building_culture_variants_name_idrinth_hev_high_elf_vampires_chapel_0	塔路易教堂	false
building_culture_variants_name_idrinth_hev_high_elf_vampires_chapel_1_asuryan	塔路易阿蘇瑞安教堂	false
building_culture_variants_name_idrinth_hev_high_elf_vampires_chapel_1_kurnous	塔路易庫爾諾斯教堂	false
building_culture_variants_name_idrinth_hev_high_elf_vampires_chapel_1_khaine	塔路易凱恩教堂	false
building_culture_variants_name_idrinth_hev_high_elf_vampires_chapel_2_asuryan	塔路易阿蘇瑞安大教堂	false
building_culture_variants_name_idrinth_hev_high_elf_vampires_chapel_2_kurnous	塔路易庫爾諾斯大教堂	false
building_culture_variants_name_idrinth_hev_high_elf_vampires_chapel_2_khaine	塔路易凱恩大教堂	false
building_culture_variants_name_idrinth_hev_high_elf_vampires_chapel_0_beasts	獸醫小屋	false
building_culture_variants_name_idrinth_hev_high_elf_vampires_chapel_1_beasts	獸醫樓	false
building_culture_variants_name_idrinth_hev_high_elf_vampires_chapel_2_beasts	獸醫大院	false
building_culture_variants_name_idrinth_hev_high_elf_vampires_chapel_1_diplomacy	小型外交站	false
building_culture_variants_name_idrinth_hev_high_elf_vampires_chapel_2_diplomacy	外交站	false
building_culture_variants_name_idrinth_hev_high_elf_vampires_chapel_2_altar	祭壇工匠坊	false
building_culture_variants_name_idrinth_hev_high_elf_vampires_horde_0	小型塔路易營地	false
building_culture_variants_name_idrinth_hev_high_elf_vampires_horde_healer_wagon_0	治療師馬車	false
building_culture_variants_name_idrinth_hev_high_elf_vampires_horde_quartermaster_0	軍需官	false
building_culture_variants_name_idrinth_hev_high_elf_vampires_horde_trader_0	商人	false
building_culture_variants_name_idrinth_hev_high_elf_vampires_horde_1	塔路易營地	false
building_culture_variants_name_idrinth_hev_high_elf_vampires_horde_healer_wagon_1	大師治療師馬車	false
building_culture_variants_name_idrinth_hev_high_elf_vampires_horde_quartermaster_1	營地議會	false
building_culture_variants_name_idrinth_hev_high_elf_vampires_horde_trader_1	商賈	false
building_culture_variants_name_idrinth_hev_high_elf_vampires_horde_2	大型塔路易營地	false
building_culture_variants_name_idrinth_hev_high_elf_vampires_horde_healer_wagon_2	治療學院馬車	false
building_culture_variants_name_idrinth_hev_high_elf_vampires_horde_quartermaster_2	高級議會	false
building_culture_variants_name_idrinth_hev_high_elf_vampires_horde_trader_2	商會	false
building_culture_variants_name_idrinth_hev_high_elf_vampires_artisan_quarters_1	小型工匠區	false
building_culture_variants_name_idrinth_hev_high_elf_vampires_artisan_quarters_2	工匠區	false
building_culture_variants_name_idrinth_hev_high_elf_vampires_tavern_0	小型精靈酒館	false
building_culture_variants_name_idrinth_hev_high_elf_vampires_tavern_1	精靈酒館	false
building_culture_variants_name_idrinth_hev_high_elf_vampires_tavern_2	大型精靈酒館	false
building_culture_variants_name_idrinth_hev_high_elf_vampires_library_2	精靈圖書館	false
building_culture_variants_name_idrinth_hev_high_elf_vampires_horde_4	移動塔路易村莊	false
building_culture_variants_name_idrinth_hev_high_elf_vampires_horde_healer_wagon_4	治療學院車隊	false
building_culture_variants_name_idrinth_hev_high_elf_vampires_horde_quartermaster_4	村莊政府	false
building_culture_variants_name_idrinth_hev_high_elf_vampires_horde_trader_4	商人公會	false
building_sets_onscreen_description_idrinth_hev_high_elf_vampires_chapel	一群流亡者、冒險家和精靈族流浪者聚集在獻給他們神祇的教堂周圍。	false
building_sets_onscreen_name_idrinth_hev_high_elf_vampires_chapel	精靈社區教堂	false
building_sets_onscreen_name_idrinth_hev_high_elf_vampires_chapel_beast	精靈獸醫所	false
building_sets_onscreen_name_idrinth_hev_high_elf_vampires_chapel_diplomacy	精靈外交站	false
building_sets_onscreen_name_idrinth_hev_high_elf_vampires_chapel_altar	精靈工匠坊	false
building_sets_onscreen_description_idrinth_hev_high_elf_vampires_chapel_beast	精靈獸醫所	false
building_sets_onscreen_description_idrinth_hev_high_elf_vampires_chapel_diplomacy	精靈外交站	false
building_sets_onscreen_description_idrinth_hev_high_elf_vampires_chapel_altar	精靈工匠坊	false
building_sets_onscreen_description_idrinth_hev_high_elf_vampires_horde	精靈營地	false
building_sets_onscreen_description_idrinth_hev_high_elf_vampires_horde_healer_wagon	精靈治療師	false
building_sets_onscreen_description_idrinth_hev_high_elf_vampires_horde_quartermaster	精靈軍需官	false
