key	text	tooltip
#Loc;1;text/db/idrinth__tr.loc	
dilemmas_localised_description_idrinth_unlock_choice	Bir gece cüppeli bir yabancı belirir ve küçük bir ücret karşılığında yardımını sunar. Yardımı kabul ediyor musun?	false
dilemmas_localised_title_idrinth_unlock_choice	Yabancı	false
dilemmas_localised_description_idrinth_dilemma_high_elves	Bir elf ulağı gelir, bir Idrinth arıyor. Tanıdığın Idrinth şimdiye kadar onu atlatıyor, belki yardım edebilirsin?	false
dilemmas_localised_description_idrinth_dilemma_wood_elves	Kamp yerine bir orman elf korucusu gelir. Kanlı kuzeni için burada olduğunu belirtir. Idrinth, kendisinin kastedildiğini hızlıca onaylasa da, buluşmayı reddeder.	false
dilemmas_localised_description_idrinth_dilemma_empire	Yaşlı bir bilgin kampına yaklaşır. Geçmişin kitaplarını taşıyarak, sizin için değerli bilgi bulduğunu iddia eder.	false
dilemmas_localised_description_idrinth_dilemma_kislev	Gece, buzlu bir rüzgar nöbetçilerinize işkence ederken, kampa gizlice girmeye çalışan bir kislevliyi yakalarlar. Genç ve görünüşte zararsız, ama onunla ne yaparsın?	false
dilemmas_localised_description_idrinth_dilemma_vampire_counts	Bir gece hizmetkarlarından birini Idrinth'in çadırının hemen dışında kanı emilmiş olarak bulursunuz. İçeri koştuğunuzda, onu masasında oturmuş eski bir parşömen okurken bulursunuz.	false
dilemmas_localised_title_idrinth_dilemma_high_elves	Ulak	false
dilemmas_localised_title_idrinth_dilemma_wood_elves	Kan Kuzenleri	false
dilemmas_localised_title_idrinth_dilemma_kislev	Davetsiz Misafir!	false
dilemmas_localised_title_idrinth_dilemma_empire	Bilgin	false
dilemmas_localised_title_idrinth_dilemma_vampire_counts	Hizmetkarın Sonu	false
dilemmas_localised_description_idrinth_dilemma_dwarves	Yakınlarda bir grup cüce görülmüş. Keşifçileriniz vampir savaşları hakkındaki hikayelerini dinledi. Bahsedilen bir elf şüpheli bir şekilde Idrinth'e benziyor.	false
dilemmas_localised_title_idrinth_dilemma_dwarves	Eski Bir Husumet	false
dilemmas_localised_description_idrinth_dilemma_weapon	Son avdan sonra Idrinth, kadim bir elf silahı gibi görünen bir şeyle size yaklaşır. Kime adayacağı konusunda tavsiyenizi ister.	false
dilemmas_localised_title_idrinth_dilemma_weapon	Kutsanmış Bir Silah	false
dilemmas_localised_description_idrinth_dilemma_armour	Son savaştan sonra Idrinth, kadim bir elf zırhı gibi görünen bir şeyle size yaklaşır. Kime adayacağı konusunda tavsiyenizi ister.	false
dilemmas_localised_title_idrinth_dilemma_armour	Kutsanmış Bir Zırh	false
dilemmas_localised_description_idrinth_dilemma_talisman	Günün yolculuğunu bitirdikten sonra Idrinth, kadim bir elf tılsımı gibi görünen bir şeyle size yaklaşır. Kime adayacağı konusunda tavsiyenizi ister.	false
dilemmas_localised_title_idrinth_dilemma_talisman	Kutsanmış Bir Tılsım	false
dilemmas_localised_description_idrinth_mode_choice	Şövalye-Bilgin Idrinth Thalui için işe alan kültürleri Yüksek Elfler, Orman Elfleri, Kislev, İmparatorluk ve Vampir Kontlarıyla sınırlamak için daha katı lore uyumluluğunu etkinleştirin. Vampir Kıyısı, Nagash Lejyonları, Karanlık Elfler, Cathay ve Bretonnia'yı da listeye eklemek için gevşek modu seçin.	false
dilemmas_localised_title_idrinth_mode_choice	Mod: Daha Katı veya Gevşek Lore Uyumluluğu	false
dilemmas_localised_description_idrinth_dilemma_unlock_high_elves	Paranızı kabul ettikten sonra yabancı, kendisini Idrinth adında bir Asur olarak tanıtır. Seyahat cüppesini çıkardığında, bir bilge ustanın savaşta yıpranmış zırhını, uyumlu bir büyük kılıcı ve henüz işlenecek vahşetlere işaret eden sert gözlerin yanında metal bir yay görürsünüz.	false
dilemmas_localised_title_idrinth_dilemma_unlock_high_elves	Idrinth Thalui	false
dilemmas_localised_description_idrinth_dilemma_unlock_wood_elves	I look forward to fighting alongside the hunters of the woods, cousin, states the asur in a friendly tone while packing his payment and travel cloak. I may not be as great of a shot as you are, but I won't slow you down. A slightly amused smile plays around his bloodless lips before disappearing. Let us have a hunt that will be told of in centuries still!	false
dilemmas_localised_title_idrinth_dilemma_unlock_wood_elves	Idrinth Thalui	false
