key	text	tooltip
#Loc;1;text/db/idrinth__kr.loc		
building_sets_onscreen_description_idrinth_hev_high_elf_vampires_chapel	A gathering of rogues, exiles and adventurers of elven kind gathering around a chapel to their deities.	false
building_sets_onscreen_name_idrinth_hev_high_elf_vampires_chapel	엘프 공동체 예배당	false
building_sets_onscreen_name_idrinth_hev_high_elf_vampires_chapel_beast	엘프 수의사	false
building_sets_onscreen_name_idrinth_hev_high_elf_vampires_chapel_diplomacy	엘프 외교	false
building_sets_onscreen_name_idrinth_hev_high_elf_vampires_chapel_altar	엘프 장인	false
building_sets_onscreen_description_idrinth_hev_high_elf_vampires_chapel_beast	엘프 수의사	false
building_sets_onscreen_description_idrinth_hev_high_elf_vampires_chapel_diplomacy	엘프 외교	false
building_sets_onscreen_description_idrinth_hev_high_elf_vampires_chapel_altar	엘프 장인	false
building_sets_onscreen_description_idrinth_hev_high_elf_vampires_horde	엘프 야영지	false
building_sets_onscreen_description_idrinth_hev_high_elf_vampires_horde_healer_wagon	엘프 치료사	false
building_sets_onscreen_description_idrinth_hev_high_elf_vampires_horde_quartermaster	엘프 병참장교	false
building_sets_onscreen_description_idrinth_hev_high_elf_vampires_horde_trader	엘프 상인	false
building_sets_onscreen_name_idrinth_hev_high_elf_vampires_horde	엘프 야영지	false
building_sets_onscreen_name_idrinth_hev_high_elf_vampires_horde_healer_wagon	엘프 치료사	false
building_sets_onscreen_name_idrinth_hev_high_elf_vampires_horde_quartermaster	엘프 병참장교	false
building_sets_onscreen_name_idrinth_hev_high_elf_vampires_horde_trader	엘프 상인	false
building_sets_onscreen_name_idrinth_hev_high_elf_vampires_artisan_quarters	Elven Artisan Quarters	false
building_sets_onscreen_name_idrinth_hev_high_elf_vampires_tavern	엘프 술집	false
building_sets_onscreen_name_idrinth_hev_high_elf_vampires_library	엘프 도서관	false
building_sets_onscreen_description_idrinth_hev_high_elf_vampires_artisan_quarters	Elven Artisan Quarters	false
building_sets_onscreen_description_idrinth_hev_high_elf_vampires_tavern	엘프 술집	false
building_sets_onscreen_description_idrinth_hev_high_elf_vampires_library	엘프 도서관	false
