choice_key	dilemma_key	associated_audio_trigger
#cdir_events_dilemma_choice_details_tables;3;db/cdir_events_dilemma_choice_details_tables/idrinth		
FIRST	idrinth_unlock_choice	
SECOND	idrinth_unlock_choice	
FIRST	idrinth_dilemma_empire	
SECOND	idrinth_dilemma_empire	
THIRD	idrinth_dilemma_empire	
FIRST	idrinth_dilemma_high_elves	
SECOND	idrinth_dilemma_high_elves	
THIRD	idrinth_dilemma_high_elves	
FIRST	idrinth_dilemma_kislev	
SECOND	idrinth_dilemma_kislev	
THIRD	idrinth_dilemma_kislev	
FIRST	idrinth_dilemma_vampire_counts	
SECOND	idrinth_dilemma_vampire_counts	
THIRD	idrinth_dilemma_vampire_counts	
FIRST	idrinth_dilemma_wood_elves	
SECOND	idrinth_dilemma_wood_elves	
THIRD	idrinth_dilemma_wood_elves	
FIRST	idrinth_dilemma_dwarves	
SECOND	idrinth_dilemma_dwarves	
THIRD	idrinth_dilemma_dwarves	
FIRST	idrinth_dilemma_weapon	
SECOND	idrinth_dilemma_weapon	
THIRD	idrinth_dilemma_weapon	
FIRST	idrinth_dilemma_armour	
SECOND	idrinth_dilemma_armour	
THIRD	idrinth_dilemma_armour	
FIRST	idrinth_dilemma_talisman	
SECOND	idrinth_dilemma_talisman	
THIRD	idrinth_dilemma_talisman	
FIRST	idrinth_mode_choice	
SECOND	idrinth_mode_choice	
FIRST	idrinth_dilemma_unlock_high_elves	
FIRST	idrinth_dilemma_unlock_wood_elves	
FIRST	idrinth_dilemma_unlock_kislev	
FIRST	idrinth_dilemma_unlock_empire	
FIRST	idrinth_dilemma_unlock_vampire_counts	
FIRST	idrinth_dilemma_god_favour	
FIRST	idrinth_levelMinimum_choice	
SECOND	idrinth_levelMinimum_choice	
THIRD	idrinth_levelMinimum_choice	
FOURTH	idrinth_levelMinimum_choice	
FIRST	idrinth_chapels_choice	
SECOND	idrinth_chapels_choice	
FIRST	idrinth_story_dilemma_drakenhof	
FIRST	idrinth_story_dilemma_temple_of_khaine	
FIRST	idrinth_story_dilemma_shrine_of_khaine	
FIRST	idrinth_story_dilemma_temple_of_asuryan	
FIRST	idrinth_story_dilemma_temple_of_kurnous	
FIRST	idrinth_story_dilemma_shrine_of_loec	
FIRST	idrinth_story_dilemma_hel_fenn	
FIRST	idrinth_story_dilemma_black_pyramid	
FIRST	idrinth_story_dilemma_vauls_anvil_ulthuan	
FIRST	idrinth_story_dilemma_vauls_anvil_naggaroth	
FIRST	idrinth_story_dilemma_vauls_anvil_loren	
FIRST	idrinth_story_dilemma_tower_of_hoeth	
FIRST	idrinth_story_dilemma_blood_keep	
FIRST	idrinth_story_dilemma_oak_of_ages	
FIRST	idrinth_story_dilemma_the_galleons_graveyard	
FIRST	idrinth_story_dilemma_sartosa	
FIRST	idrinth_story_dilemma_lahmia	
FIRST	idrinth_story_dilemma_ghrond	
FIRST	idrinth_story_choice	
SECOND	idrinth_story_choice	
